nombreProvincia,nombre,cut,area,poblacion,latitud,longitud
Linares,San Javier,7406,123,123,123,123
Linares,Villa Alegre,7407,123,123,123,123
Linares,Yerbas Buenas,7408,123,123,123,123
Concepción,Concepción,8101,123,123,123,123
Concepción,Coronel,8102,123,123,123,123
Concepción,Chiguayante,8103,123,123,123,123
Concepción,Florida,8104,123,123,123,123
Concepción,Hualqui,8105,123,123,123,123
Concepción,Lota,8106,123,123,123,123
Concepción,Penco,8107,123,123,123,123
Concepción,San Pedro de la Paz,8108,123,123,123,123
Concepción,Santa Juana,8109,123,123,123,123
Concepción,Talcahuano,8110,123,123,123,123
Concepción,Tomé,8111,123,123,123,123
Concepción,Hualpén,8112,123,123,123,123
Arauco,Lebu,8201,123,123,123,123
Arauco,Arauco,8202,123,123,123,123
Arauco,Cañete,8203,123,123,123,123
Arauco,Contulmo,8204,123,123,123,123
Arauco,Curanilahue,8205,123,123,123,123
Arauco,Los Alamos,8206,123,123,123,123
Arauco,Tirua,8207,123,123,123,123
Bío-Bío,Los Angeles,8301,123,123,123,123
Bío-Bío,Antuco,8302,123,123,123,123
Bío-Bío,Cabrero,8303,123,123,123,123
Bío-Bío,Laja,8304,123,123,123,123
Bío-Bío,Mulchén,8305,123,123,123,123
Bío-Bío,Nacimiento,8306,123,123,123,123
Bío-Bío,Negrete,8307,123,123,123,123
Bío-Bío,Quilaco,8308,123,123,123,123
Bío-Bío,Quilleco,8309,123,123,123,123
Bío-Bío,San Rosendo,8310,123,123,123,123
Bío-Bío,Santa Bárbara,8311,123,123,123,123
Bío-Bío,Tucapel,8312,123,123,123,123
Bío-Bío,Yumbel,8313,123,123,123,123
Bío-Bío,Alto Biobío,8314,123,123,123,123
Ñuble,Chillán,8401,123,123,123,123
Ñuble,Bulnes,8402,123,123,123,123
Ñuble,Cobquecura,8403,123,123,123,123
Ñuble,Coelemu,8404,123,123,123,123
Ñuble,Coihueco,8405,123,123,123,123
Ñuble,Chillán Viejo,8406,123,123,123,123
Ñuble,El Carmen,8407,123,123,123,123
Ñuble,Ninhue,8408,123,123,123,123
Ñuble,Ñiquén,8409,123,123,123,123
Ñuble,Pemuco,8410,123,123,123,123
Ñuble,Pinto,8411,123,123,123,123
Ñuble,Portezuelo,8412,123,123,123,123
Ñuble,Quillón,8413,123,123,123,123
Ñuble,Quirihue,8414,123,123,123,123
Ñuble,Ranquil,8415,123,123,123,123
Ñuble,San Carlos,8416,123,123,123,123
Ñuble,San Fabián,8417,123,123,123,123
Ñuble,San Ignacio,8418,123,123,123,123
Ñuble,San Nicolás,8419,123,123,123,123
Ñuble,Treguaco,8420,123,123,123,123
Ñuble,Yungay,8421,123,123,123,123
Cautín,Temuco,9101,123,123,123,123
Cautín,Carahue,9102,123,123,123,123
Cautín,Cunco,9103,123,123,123,123
Cautín,Curarrehue,9104,123,123,123,123
Cautín,Freire,9105,123,123,123,123
Cautín,Galvarino,9106,123,123,123,123
Cautín,Gorbea,9107,123,123,123,123
Cautín,Lautaro,9108,123,123,123,123
Cautín,Loncoche,9109,123,123,123,123
Cautín,Melipeuco,9110,123,123,123,123
Cautín,Nueva Imperial,9111,123,123,123,123
Cautín,Padre Las Casas,9112,123,123,123,123
Cautín,Perquenco,9113,123,123,123,123
Cautín,Pitrufquén,9114,123,123,123,123
Cautín,Pucón,9115,123,123,123,123
Cautín,Saavedra,9116,123,123,123,123
Cautín,Teodoro Schmidt,9117,123,123,123,123
Cautín,Toltén,9118,123,123,123,123
Cautín,Vilcún,9119,123,123,123,123
Cautín,Villarrica,9120,123,123,123,123
Cautín,Cholchol,9121,123,123,123,123
Malleco,Angol,9201,123,123,123,123
Malleco,Collipulli,9202,123,123,123,123
Malleco,Curacautín,9203,123,123,123,123
Malleco,Ercilla,9204,123,123,123,123
Malleco,Lonquimay,9205,123,123,123,123
Malleco,Los Sauces,9206,123,123,123,123
Malleco,Lumaco,9207,123,123,123,123
Malleco,Puren,9208,123,123,123,123
Malleco,Renaico,9209,123,123,123,123
Malleco,Traiguén,9210,123,123,123,123
Malleco,Victoria,9211,123,123,123,123
Llanquihue,Puerto Montt,10101,123,123,123,123
Llanquihue,Calbuco,10102,123,123,123,123
Llanquihue,Cochamó,10103,123,123,123,123
Llanquihue,Fresia,10104,123,123,123,123
Llanquihue,Frutillar,10105,123,123,123,123
Llanquihue,Los Muermos,10106,123,123,123,123
Llanquihue,Llanquihue,10107,123,123,123,123
Llanquihue,Maullín,10108,123,123,123,123
Llanquihue,Puerto Varas,10109,123,123,123,123
Chiloé,Castro,10201,123,123,123,123
Chiloé,Ancud,10202,123,123,123,123
Chiloé,Chonchi,10203,123,123,123,123
Chiloé,Curaco de Velez,10204,123,123,123,123
Chiloé,Dalcahue,10205,123,123,123,123
Chiloé,Puqueldón,10206,123,123,123,123
Chiloé,Queilén,10207,123,123,123,123
Chiloé,Quellón,10208,123,123,123,123
Chiloé,Quemchi,10209,123,123,123,123
Chiloé,Quinchao,10210,123,123,123,123
Osorno,Osorno,10301,123,123,123,123
Osorno,Puerto Octay,10302,123,123,123,123
Osorno,Purranque,10303,123,123,123,123
Osorno,Puyehue,10304,123,123,123,123
Osorno,Río Negro,10305,123,123,123,123
Osorno,San Juan de la Costa,10306,123,123,123,123
Osorno,San Pablo,10307,123,123,123,123
Palena,Chaitén,10401,123,123,123,123
Palena,Futaleufú,10402,123,123,123,123
Palena,Hualaihue,10403,123,123,123,123
Palena,Palena,10404,123,123,123,123
Coihayque,Coihayque,11101,123,123,123,123
Coihayque,Lago Verde,11102,123,123,123,123
Aisén,Aisén,11201,123,123,123,123
Aisén,Cisnes,11202,123,123,123,123
Aisén,Guaitecas,11203,123,123,123,123
Capitán Prat,Cochrane,11301,123,123,123,123
Capitán Prat,O'Higgins,11302,123,123,123,123
Capitán Prat,Tortel,11303,123,123,123,123
General Carrera,Chile Chico,11401,123,123,123,123
General Carrera,Río Ibáñez,11402,123,123,123,123
Magallanes,Punta Arenas,12101,123,123,123,123
Magallanes,Laguna Blanca,12102,123,123,123,123
Magallanes,Río Verde,12103,123,123,123,123
Magallanes,San Gregorio,12104,123,123,123,123
Antártica Chilena,Cabo de Hornos,12201,123,123,123,123
Antártica Chilena,Antártica,12202,123,123,123,123
Tierra del Fuego,Porvenir,12301,123,123,123,123
Tierra del Fuego,Primavera,12302,123,123,123,123
Tierra del Fuego,Timaukel,12303,123,123,123,123
Última Esperanza,Natales,12401,123,123,123,123
Última Esperanza,Torres del Paine,12402,123,123,123,123
Santiago,Santiago,13101,123,123,123,123
Santiago,Cerrillos,13102,123,123,123,123
Santiago,Cerro Navia,13103,123,123,123,123
Santiago,Conchalí,13104,123,123,123,123
Santiago,El Bosque,13105,123,123,123,123
Santiago,Estación Central,13106,123,123,123,123
Santiago,Huechuraba,13107,123,123,123,123
Santiago,Independencia,13108,123,123,123,123
Santiago,La Cisterna,13109,123,123,123,123
Santiago,La Florida,13110,123,123,123,123
Santiago,La Granja,13111,123,123,123,123
Santiago,La Pintana,13112,123,123,123,123
Santiago,La Reina,13113,123,123,123,123
Santiago,Las Condes,13114,123,123,123,123
Santiago,Lo Barnechea,13115,123,123,123,123
Santiago,Lo Espejo,13116,123,123,123,123
Santiago,Lo Prado,13117,123,123,123,123
Santiago,Macul,13118,123,123,123,123
Santiago,Maipú,13119,123,123,123,123
Santiago,Ñuñoa,13120,123,123,123,123
Santiago,Pedro Aguirre Cerda,13121,123,123,123,123
Santiago,Peñalolén,13122,123,123,123,123
